model,model_label,dataset,dataset_label,strategy,strategy_label,error_rate,sign_class,ok,delta_mcc,p_value
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,10,-1,True,-0.010589445492038774,0.009435653686523438
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,20,0,True,-0.0037849559776881314,0.8694877624511719
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,30,1,True,0.02012210974945028,0.005580902099609375
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,40,1,True,0.04980928549775329,6.29425048828125e-05
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,0,-1,True,-0.01644948695088988,0.00485992431640625
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,10,-1,True,-0.015049497420377866,0.005580902099609375
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,20,0,True,-0.01134701813944966,0.08969497680664062
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,30,1,True,0.02436825904127382,0.0005855560302734375
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,40,1,True,0.048129909953906536,0.0003948211669921875
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,random,Random,0,-1,True,-0.0756941365134598,1.9073486328125e-06
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,random,Random,10,0,True,0.002142859625679172,0.36827659606933594
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,random,Random,20,0,True,0.0054889951073284204,0.38837623596191406
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,random,Random,30,0,True,-0.002603773836006129,0.5216732025146484
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,random,Random,40,-1,True,-0.021316673745427756,0.00485992431640625
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,first,First,0,-1,True,-0.07561289186596515,1.9073486328125e-06
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,first,First,10,0,True,0.00034094668504902614,0.8694877624511719
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,first,First,20,0,True,0.006168937809529207,0.38837623596191406
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,first,First,30,0,True,-0.010925240517405621,0.15364646911621094
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,first,First,40,0,True,-0.015695049715466758,0.14290618896484375
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,0,-1,True,-0.1264387966042676,1.9073486328125e-06
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,10,-1,True,-0.0652059063360046,1.9073486328125e-06
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,20,-1,True,-0.06750960012356905,1.9073486328125e-06
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,30,0,True,-0.011284400211142076,0.24548721313476562
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,40,-1,True,-0.04729709849960348,1.9073486328125e-05
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,0,-1,True,-0.11191358088466141,1.9073486328125e-06
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,10,-1,True,-0.013939539507918652,0.04405403137207031
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,20,1,True,0.023798702137198813,0.0019855499267578125
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,30,1,True,0.030400452026612457,0.0003948211669921875
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,40,0,True,0.0064665967792502665,0.47490501403808594
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,0,-1,True,-0.07010180842006286,1.9073486328125e-06
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,10,1,True,0.011557688467556393,0.04844093322753906
dmpnn,D-MPNN,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,20,0,True,0.013903772561796812,0.0758514404296875
