dataset,dataset_label,model,learning_progress,mcc_mean,mcc_std,n_seeds,available_trajectories
pgp_broccatelli,Pgp,Random Forest,93.30578512396694,0.6506683594884283,0.043515941461697405,20,20
pgp_broccatelli,Pgp,Random Forest,94.95867768595042,0.6500581683092258,0.0426952121985952,20,20
pgp_broccatelli,Pgp,Random Forest,96.61157024793388,0.644700050259321,0.047438923342105845,20,20
pgp_broccatelli,Pgp,Random Forest,98.26446280991736,0.6471525139674459,0.04647888548346115,20,20
pgp_broccatelli,Pgp,Random Forest,99.58677685950413,0.6482587387473352,0.04517767700792857,20,20
pgp_broccatelli,Pgp,D-MPNN,0.743801652892562,0.18965669031032378,0.09806705314053109,20,20
pgp_broccatelli,Pgp,D-MPNN,2.396694214876033,0.2757727404557103,0.08229841265898302,20,20
pgp_broccatelli,Pgp,D-MPNN,4.049586776859504,0.30591151856974585,0.08348034376197112,20,20
pgp_broccatelli,Pgp,D-MPNN,5.702479338842975,0.3251510876912742,0.08803250075402884,20,20
pgp_broccatelli,Pgp,D-MPNN,7.355371900826446,0.2810022708438422,0.06295389463408707,20,20
pgp_broccatelli,Pgp,D-MPNN,9.008264462809917,0.21338917681187358,0.13054752141719708,20,20
pgp_broccatelli,Pgp,D-MPNN,10.661157024793388,0.3029672785470749,0.09092931676397611,20,20
pgp_broccatelli,Pgp,D-MPNN,12.314049586776859,0.3353388729235619,0.07414193962182895,20,20
pgp_broccatelli,Pgp,D-MPNN,13.96694214876033,0.3577085466468423,0.05630235652270302,20,20
pgp_broccatelli,Pgp,D-MPNN,15.619834710743802,0.3444357997075157,0.043533260078588557,20,20
pgp_broccatelli,Pgp,D-MPNN,17.272727272727273,0.35561282590084303,0.042646669683848275,20,20
pgp_broccatelli,Pgp,D-MPNN,18.925619834710744,0.3944696301129527,0.04516743871367808,20,20
pgp_broccatelli,Pgp,D-MPNN,20.578512396694215,0.40960244894348,0.04399767206954553,20,20
pgp_broccatelli,Pgp,D-MPNN,22.231404958677686,0.42033774682255165,0.04626532327101914,20,20
pgp_broccatelli,Pgp,D-MPNN,23.884297520661157,0.4112684399506737,0.0514324128473398,20,20
pgp_broccatelli,Pgp,D-MPNN,25.537190082644628,0.42939020041600395,0.046810929153156586,20,20
pgp_broccatelli,Pgp,D-MPNN,27.1900826446281,0.46107534649271587,0.051430749431682396,20,20
pgp_broccatelli,Pgp,D-MPNN,28.84297520661157,0.47744454907344125,0.0530217394301642,20,20
pgp_broccatelli,Pgp,D-MPNN,30.49586776859504,0.4878836681269183,0.05103922548344196,20,20
pgp_broccatelli,Pgp,D-MPNN,32.14876033057851,0.4541368337589747,0.05526328730499186,20,20
pgp_broccatelli,Pgp,D-MPNN,33.80165289256198,0.4792394125337984,0.053472343810528414,20,20
pgp_broccatelli,Pgp,D-MPNN,35.45454545454545,0.506772747779472,0.050465684535992254,20,20
pgp_broccatelli,Pgp,D-MPNN,37.107438016528924,0.517883613338307,0.04225795733585678,20,20
pgp_broccatelli,Pgp,D-MPNN,38.760330578512395,0.5270114305622823,0.038286689178015386,20,20
pgp_broccatelli,Pgp,D-MPNN,40.413223140495866,0.5046674287289005,0.03736246235373706,20,20
pgp_broccatelli,Pgp,D-MPNN,42.06611570247934,0.523942810542935,0.04182937742929415,20,20
pgp_broccatelli,Pgp,D-MPNN,43.71900826446281,0.5388114363551214,0.03715456129469208,20,20
pgp_broccatelli,Pgp,D-MPNN,45.37190082644628,0.5478238475887574,0.040776746735697256,20,20
pgp_broccatelli,Pgp,D-MPNN,47.02479338842975,0.5490785523191164,0.04042114320727216,20,20
pgp_broccatelli,Pgp,D-MPNN,48.67768595041322,0.5195231137348107,0.03234788665508856,20,20
pgp_broccatelli,Pgp,D-MPNN,50.33057851239669,0.533883024520092,0.03756194696892345,20,20
pgp_broccatelli,Pgp,D-MPNN,51.98347107438016,0.5533970113670458,0.04171260667290791,20,20
pgp_broccatelli,Pgp,D-MPNN,53.63636363636363,0.5578210277822904,0.04305951982251356,20,20
pgp_broccatelli,Pgp,D-MPNN,55.289256198347104,0.5585687951787811,0.041487852763795165,20,20
pgp_broccatelli,Pgp,D-MPNN,56.94214876033058,0.5410277866981794,0.04357580638719019,20,20
pgp_broccatelli,Pgp,D-MPNN,58.59504132231405,0.54999254754254,0.04398242161011742,20,20
pgp_broccatelli,Pgp,D-MPNN,60.247933884297524,0.5639173152771539,0.045896744566066176,20,20
pgp_broccatelli,Pgp,D-MPNN,61.900826446280995,0.5694292015156625,0.04254991605584245,20,20
pgp_broccatelli,Pgp,D-MPNN,63.553719008264466,0.5721233096495169,0.04423118911151215,20,20
pgp_broccatelli,Pgp,D-MPNN,65.20661157024793,0.5562704843186634,0.04322614437091652,20,20
pgp_broccatelli,Pgp,D-MPNN,66.85950413223141,0.5614189952176292,0.044289608707125415,20,20
pgp_broccatelli,Pgp,D-MPNN,68.51239669421487,0.5723094221002553,0.04465286773197275,20,20
pgp_broccatelli,Pgp,D-MPNN,70.16528925619835,0.5783319719061244,0.04704752356218908,20,20
pgp_broccatelli,Pgp,D-MPNN,71.81818181818181,0.5754128738979644,0.04837748969407717,20,20
pgp_broccatelli,Pgp,D-MPNN,73.47107438016529,0.5669840777188395,0.047471030839895005,20,20
pgp_broccatelli,Pgp,D-MPNN,75.12396694214875,0.5682061903187898,0.04795226538316739,20,20
pgp_broccatelli,Pgp,D-MPNN,76.77685950413223,0.5826066809819306,0.04833582169108182,20,20
pgp_broccatelli,Pgp,D-MPNN,78.4297520661157,0.5820862154796549,0.049089855285385266,20,20
pgp_broccatelli,Pgp,D-MPNN,80.08264462809917,0.5812574664063211,0.04646134831254585,20,20
pgp_broccatelli,Pgp,D-MPNN,81.73553719008264,0.5747029863889503,0.0443530362993939,20,20
pgp_broccatelli,Pgp,D-MPNN,83.38842975206612,0.5767308098083597,0.04644796367239487,20,20
pgp_broccatelli,Pgp,D-MPNN,85.04132231404958,0.5837647701927041,0.04616423527749427,20,20
pgp_broccatelli,Pgp,D-MPNN,86.69421487603306,0.584458896936326,0.04777344086854267,20,20
pgp_broccatelli,Pgp,D-MPNN,88.34710743801652,0.5830470628140999,0.05045538089200484,20,20
pgp_broccatelli,Pgp,D-MPNN,90.0,0.577696447509428,0.04756824271311372,20,20
pgp_broccatelli,Pgp,D-MPNN,91.65289256198348,0.5735117749574772,0.046462143926555226,20,20
pgp_broccatelli,Pgp,D-MPNN,93.30578512396694,0.5821206709018564,0.051782663101376185,20,20
pgp_broccatelli,Pgp,D-MPNN,94.95867768595042,0.5831684730981357,0.0479238252534503,20,20
pgp_broccatelli,Pgp,D-MPNN,96.61157024793388,0.5809497307667064,0.051175508830294855,20,20
pgp_broccatelli,Pgp,D-MPNN,98.26446280991736,0.5707150372089314,0.05028248229156078,20,20
