figure,rf_set,rf_label,dataset,dataset_label,strategy,strategy_label,start_percent,significant,smal_better,delta_auc,p_value,n,sign_class
figureS3,rf-n500-d10,500/10,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,10,True,True,3.7768751185206115,1.9073486328125e-06,20,1
figureS3,rf-n500-d10,500/10,MDR1_MDCK_classification2,MDR1-MDCK,first,First,10,True,True,3.7702585243963207,1.9073486328125e-06,20,1
figureS3,rf-n500-d10,500/10,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,10,True,True,4.4136462769441795,1.9073486328125e-06,20,1
figureS3,rf-n500-d10,500/10,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,10,True,False,-1.24910853770533,1.9073486328125e-06,20,-1
figureS3,rf-n500-d10,500/10,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,10,True,True,3.4454417102255532,1.9073486328125e-06,20,1
figureS3,rf-n500-d10,500/10,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,10,True,True,3.774087331673524,1.9073486328125e-06,20,1
figureS3,rf-n500-d20,500/20,pgp_broccatelli,Pgp,random,Random,10,True,True,0.3471307909873989,0.03276824951171875,20,1
figureS3,rf-n500-d20,500/20,pgp_broccatelli,Pgp,first,First,10,True,True,0.5325053847092487,0.001689910888671875,20,1
figureS3,rf-n500-d20,500/20,pgp_broccatelli,Pgp,min_oob_error,MinE,10,True,True,0.6455518070957048,0.0031528472900390625,20,1
figureS3,rf-n500-d20,500/20,pgp_broccatelli,Pgp,max_oob_error,MaxE,10,False,False,-0.07267561726190408,0.6476554870605469,20,0
figureS3,rf-n500-d20,500/20,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,10,False,True,0.22894021879645904,0.3117942810058594,20,0
figureS3,rf-n500-d20,500/20,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,10,False,True,0.40001940661505275,0.10539817810058594,20,0
figureS3,rf-n500-d20,500/20,PAMPA_NCATS,PAMPA,random,Random,10,False,True,0.27890826282836334,0.13272666931152344,20,0
figureS3,rf-n500-d20,500/20,PAMPA_NCATS,PAMPA,first,First,10,True,True,0.4794668998295416,0.04844093322753906,20,1
figureS3,rf-n500-d20,500/20,PAMPA_NCATS,PAMPA,min_oob_error,MinE,10,False,True,0.2626207034725601,0.2305126190185547,20,0
figureS3,rf-n500-d20,500/20,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,10,False,False,-0.00820851276819723,0.6742229461669922,20,0
figureS3,rf-n500-d20,500/20,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,10,False,True,0.2784402170460568,0.2942523956298828,20,0
figureS3,rf-n500-d20,500/20,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,10,False,True,0.37032623639891715,0.5705966949462891,20,0
figureS3,rf-n500-d20,500/20,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,10,True,True,1.8998365785094697,1.9073486328125e-06,20,1
figureS3,rf-n500-d20,500/20,MDR1_MDCK_classification2,MDR1-MDCK,first,First,10,True,True,1.8103553934066046,1.9073486328125e-06,20,1
figureS3,rf-n500-d20,500/20,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,10,True,True,2.485028219680221,1.9073486328125e-06,20,1
figureS3,rf-n500-d20,500/20,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,10,True,False,-2.3097760924365,1.9073486328125e-06,20,-1
figureS3,rf-n500-d20,500/20,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,10,True,True,1.6990486462757732,1.9073486328125e-06,20,1
figureS3,rf-n500-d20,500/20,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,10,True,True,1.977735916743916,1.9073486328125e-06,20,1
figureS4,rf-n50-none,50/None,pgp_broccatelli,Pgp,random,Random,10,False,True,0.2927910449791689,0.0758514404296875,20,0
figureS4,rf-n50-none,50/None,pgp_broccatelli,Pgp,first,First,10,False,True,0.26040674164261157,0.15364646911621094,20,0
figureS4,rf-n50-none,50/None,pgp_broccatelli,Pgp,min_oob_error,MinE,10,True,True,0.388341262491377,0.01068878173828125,20,1
figureS4,rf-n50-none,50/None,pgp_broccatelli,Pgp,max_oob_error,MaxE,10,False,False,-0.06722457084292621,0.49800872802734375,20,0
figureS4,rf-n50-none,50/None,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,10,False,True,0.3632918872010805,0.05316925048828125,20,0
