model,model_label,dataset,dataset_label,error_rate,strategy,strategy_label,mean,std,count,full_mcc,complete_panel
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,40,max_oob_error,MaxE,0.1860428478425728,0.05296545272720747,20,0.19968141835302258,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,40,max_oob_uncertainty,MaxU,0.1444215469862518,0.054448803188724325,20,0.19968141835302258,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,40,min_oob_error,MinE,0.14665080103183625,0.05112159273023506,20,0.19968141835302258,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,40,min_oob_uncertainty,MinU,0.1546771062045869,0.05320705216688412,20,0.19968141835302258,True
dmpnn,D-MPNN,MDR1_MDCK_classification2,MDR1-MDCK,40,random,Random,0.1508671741472766,0.05629792897933014,20,0.19968141835302258,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,0,first,First,0.17802745489047164,0.0418747118161459,20,0.13387137898166854,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,0,max_oob_error,MaxE,0.11427079593135578,0.051333639954568445,20,0.13387137898166854,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,0,max_oob_uncertainty,MaxU,0.16275666986167178,0.06439803165088877,20,0.13387137898166854,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,0,min_oob_error,MinE,0.2021338664791376,0.06107033230595423,20,0.13387137898166854,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,0,min_oob_uncertainty,MinU,0.16525330304261127,0.06067353484006939,20,0.13387137898166854,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,0,random,Random,0.16445415655259157,0.04620657479368198,20,0.13387137898166854,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,10,first,First,0.18605238671859214,0.0561304741616573,20,0.15876453224541348,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,10,max_oob_error,MaxE,0.1421651920936712,0.057272255232313024,20,0.15876453224541348,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,10,max_oob_uncertainty,MaxU,0.17096944663074734,0.06501293347906577,20,0.15876453224541348,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,10,min_oob_error,MinE,0.17492925630438655,0.05695377954442238,20,0.15876453224541348,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,10,min_oob_uncertainty,MinU,0.1774696585691071,0.05226110051343867,20,0.15876453224541348,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,10,random,Random,0.19220244701116654,0.03787816977542038,20,0.15876453224541348,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,20,first,First,0.16116638213010295,0.06291126229955601,20,0.03650285948161652,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,20,max_oob_error,MaxE,0.1027058336315465,0.059222292624986184,20,0.03650285948161652,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,20,max_oob_uncertainty,MaxU,0.14158018184229149,0.0705332224565982,20,0.03650285948161652,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,20,min_oob_error,MinE,0.15429095612652194,0.05253339220146916,20,0.03650285948161652,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,20,min_oob_uncertainty,MinU,0.1504295561163301,0.05973630827617905,20,0.03650285948161652,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,20,random,Random,0.1404681612704685,0.07031610011014666,20,0.03650285948161652,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,30,first,First,0.11549340302087754,0.056248620224942585,20,0.08469996055712468,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,30,max_oob_error,MaxE,0.10312560221865737,0.051662411261817434,20,0.08469996055712468,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,30,max_oob_uncertainty,MaxU,0.10840414061547465,0.05519542136367239,20,0.08469996055712468,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,30,min_oob_error,MinE,0.11613360810730051,0.05143717598069505,20,0.08469996055712468,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,30,min_oob_uncertainty,MinU,0.11114231102132799,0.0579520482846757,20,0.08469996055712468,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,30,random,Random,0.11014711820150062,0.058091579653975246,20,0.08469996055712468,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,40,first,First,0.06538836237088234,0.050558636047843566,20,-0.03292746806448927,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,40,max_oob_error,MaxE,0.043533151725908235,0.049751947424804176,20,-0.03292746806448927,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,40,max_oob_uncertainty,MaxU,0.06871658399422928,0.06082251700325303,20,-0.03292746806448927,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,40,min_oob_error,MinE,0.07231825655301441,0.04432041881721265,20,-0.03292746806448927,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,40,min_oob_uncertainty,MinU,0.06198427825915618,0.05488603575534171,20,-0.03292746806448927,True
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,40,random,Random,0.07060432915487218,0.058519423824307644,20,-0.03292746806448927,True
dmpnn,D-MPNN,ames,Ames,0,first,First,0.4728984615219421,0.04349173172019368,20,0.4753604948929608,True
dmpnn,D-MPNN,ames,Ames,0,max_oob_error,MaxE,0.4788580552105743,0.041786911314772704,20,0.4753604948929608,True
dmpnn,D-MPNN,ames,Ames,0,max_oob_uncertainty,MaxU,0.47854349719789824,0.042625651801499145,20,0.4753604948929608,True
dmpnn,D-MPNN,ames,Ames,0,min_oob_error,MinE,0.47795853050220155,0.04382092320604443,20,0.4753604948929608,True
dmpnn,D-MPNN,ames,Ames,0,min_oob_uncertainty,MinU,0.47622134091602836,0.047507170982016705,20,0.4753604948929608,True
dmpnn,D-MPNN,ames,Ames,0,random,Random,0.47509815874457384,0.04007952825497383,20,0.4753604948929608,True
dmpnn,D-MPNN,ames,Ames,10,first,First,0.4450184107087952,0.046015634953020565,20,0.484893587648865,True
dmpnn,D-MPNN,ames,Ames,10,max_oob_error,MaxE,0.44705989863275636,0.031367676963019536,20,0.484893587648865,True
dmpnn,D-MPNN,ames,Ames,10,max_oob_uncertainty,MaxU,0.44556393641763525,0.03912519969276111,20,0.484893587648865,True
dmpnn,D-MPNN,ames,Ames,10,min_oob_error,MinE,0.44501481726594516,0.03888955099328895,20,0.484893587648865,True
dmpnn,D-MPNN,ames,Ames,10,min_oob_uncertainty,MinU,0.4444785996297069,0.03597855710438249,20,0.484893587648865,True
dmpnn,D-MPNN,ames,Ames,10,random,Random,0.44280261254772696,0.031591415833159046,20,0.484893587648865,True
dmpnn,D-MPNN,ames,Ames,20,first,First,0.4255432184063185,0.03576090621888599,20,0.448672145147283,True
dmpnn,D-MPNN,ames,Ames,20,max_oob_error,MaxE,0.4262248798123719,0.04112079226367307,20,0.448672145147283,True
dmpnn,D-MPNN,ames,Ames,20,max_oob_uncertainty,MaxU,0.41632272259356506,0.04823153920512739,20,0.448672145147283,True
dmpnn,D-MPNN,ames,Ames,20,min_oob_error,MinE,0.41866673750096817,0.03841151035546071,20,0.448672145147283,True
dmpnn,D-MPNN,ames,Ames,20,min_oob_uncertainty,MinU,0.42657398287675974,0.04952955848546383,20,0.448672145147283,True
dmpnn,D-MPNN,ames,Ames,20,random,Random,0.41457839588726336,0.040886617147964405,20,0.448672145147283,True
