dataset,error,seed,metric_value,method,method_label,metric,dataset_label,smal_strategy,f_min_iter
ames,0,12,0.3935893616531946,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,13,0.3544610535398338,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,14,0.5102994330724641,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,15,0.482837244108123,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,16,0.4214373313594612,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,17,0.3681045537464951,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,18,0.488705065553034,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
ames,0,19,0.4900599428855362,smal_max_oob_error,SMAL (MaxE),mcc,AMES,max_oob_error,2938.0
pgp_broccatelli,0,0,0.6932684674905791,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,1,0.7089685155454014,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,2,0.6418482164242936,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,3,0.6622126742055385,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,4,0.7348330696679134,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,5,0.6303522111610693,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,6,0.7229400654027255,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,7,0.5952436113601542,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,8,0.6143030284845707,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,9,0.673073517741201,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,10,0.70824377074685,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,11,0.6239622428249063,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,12,0.5443199117034221,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,13,0.7074395497518448,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,14,0.7241875182336353,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,15,0.6662174231641592,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,16,0.6471634411403929,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,17,0.6771158514070729,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,18,0.6952333096541483,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
pgp_broccatelli,0,19,0.7038062376816738,smal_max_oob_error,SMAL (MaxE),mcc,Pgp,max_oob_error,317.0
CYP2D6_Veith,0,0,0.4495493654073166,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,1,0.4641599793685255,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,10,0.471952160739183,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,11,0.4247047477877517,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,12,0.4431277539056988,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,13,0.4446742812194142,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,14,0.4350435256018494,all_knn,AllKNN,mcc,CYP2D6,,
CYP2D6_Veith,0,15,0.4683840792735648,all_knn,AllKNN,mcc,CYP2D6,,
