source,error_rate,dataset,dataset_label,strategy,strategy_label,method,n_seeds,figure_id,rf_set,rf_label,learning_progress,mcc_mean,mcc_std
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,30.84556848972005,0.6170648033836253,0.04140778284377865
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,31.670800369317668,0.6151601720638559,0.0437400464108718
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,32.330985872995754,0.6112972991465714,0.04213445909091592
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,33.15621775259337,0.620514561614954,0.038850938456417065
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,33.98144963219098,0.6220127640208845,0.047107389101707337
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,34.64163513586907,0.627102311574905,0.03645612880562028
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,35.46686701546668,0.6240730352665017,0.0436670655048231
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,36.127052519144776,0.6221534869082153,0.035362033296962955
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,36.952284398742385,0.6255330005088757,0.03819519124738345
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,37.61246990242048,0.6331323227435728,0.040518416490346994
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,38.43770178201809,0.6310920312771736,0.04172726690203676
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,39.09788728569618,0.6267861749172502,0.05468108389404186
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,39.92311916529379,0.6357607419680684,0.0384899467813724
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,40.74835104489141,0.6257249708406728,0.04328027801179088
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,41.408536548569494,0.6316450959017165,0.035482457826616166
rf_parameter_sets,0,pgp_broccatelli,Pgp,random,Random,smal,20,figureS1,rf-n50-d10,50/10,42.23376842816711,0.6366066241279774,0.05453521431911681
