source,dataset,dataset_label,strategy,strategy_label,error_rate,target_error_rate,seed,introduced_error_pct,final_error_pct,error_reduction,shuffle_fraction
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,12,19.704433497536947,20.94240837696335,-1.2379748794264032,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,13,21.01806239737274,20.157068062827225,0.8609943345455164,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,14,17.733990147783253,15.18324607329843,2.5507440744848235,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,15,20.032840722495894,21.98952879581152,-1.9566880733156253,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,16,20.689655172413794,18.848167539267017,1.8414876331467767,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,17,21.01806239737274,20.94240837696335,0.07565402040939162,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,18,18.0623973727422,19.10994764397906,-1.047550271236858,40.0
stratified_shuffle,pgp_broccatelli,Pgp,random,Random,40,,19,21.01806239737274,23.56020942408377,-2.542147026711028,40.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,0,5.582922824302135,4.3604651162790695,1.2224577080230654,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,1,4.597701149425287,4.941860465116279,-0.3441593156909919,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,2,4.926108374384237,4.941860465116279,-0.015752090732042312,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,3,4.597701149425287,5.523255813953488,-0.9255546645282013,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,4,5.254515599343185,6.104651162790697,-0.8501355634475116,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,5,4.269293924466338,3.488372093023256,0.7809218314430826,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,6,4.926108374384237,4.941860465116279,-0.015752090732042312,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,7,5.254515599343185,4.651162790697675,0.6033528086455107,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,8,6.568144499178982,5.523255813953488,1.0448886852254935,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,9,5.582922824302135,6.686046511627906,-1.1031236873257715,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,10,4.597701149425287,4.651162790697675,-0.05346164127238762,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,11,3.9408866995073892,4.651162790697675,-0.7102760911902855,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,12,4.269293924466338,4.3604651162790695,-0.09117119181273114,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,13,3.9408866995073892,5.232558139534884,-1.291671440027495,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,14,4.597701149425287,4.941860465116279,-0.3441593156909919,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,15,5.254515599343185,6.395348837209303,-1.1408332378661177,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,16,4.597701149425287,4.069767441860465,0.5279337075648218,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,17,5.254515599343185,5.232558139534884,0.021957459808301216,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,18,5.254515599343185,6.104651162790697,-0.8501355634475116,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,10,,19,3.6124794745484397,4.3604651162790695,-0.7479856417306299,10.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,0,9.852216748768473,9.688581314878892,0.16363543388958135,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,1,11.16584564860427,9.688581314878892,1.477264333725378,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,2,11.16584564860427,10.380622837370241,0.7852228112340285,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,3,9.523809523809524,8.650519031141869,0.873290492667655,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,4,9.852216748768473,10.726643598615917,-0.8744268498474437,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,5,10.83743842364532,10.034602076124568,0.8028363475207527,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,6,10.180623973727423,10.726643598615917,-0.5460196248884941,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,7,8.866995073891626,8.650519031141869,0.21647604274975762,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,8,10.180623973727423,6.920415224913495,3.2602087488139277,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,9,10.83743842364532,10.380622837370241,0.4568155862750789,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,10,10.180623973727423,11.418685121107266,-1.2380611473798435,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,11,10.180623973727423,9.342560553633218,0.8380634200942048,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,12,9.852216748768473,10.380622837370241,-0.5284060886017681,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,13,9.852216748768473,8.996539792387544,0.855676956380929,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,14,9.852216748768473,8.304498269896193,1.5477184788722802,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,15,8.866995073891626,9.688581314878892,-0.8215862409872656,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,16,7.8817733990147785,6.228373702422145,1.6533996965926336,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,17,10.50903119868637,12.802768166089965,-2.2937369674035946,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,18,8.866995073891626,9.342560553633218,-0.4755654797415918,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,20,,19,11.494252873563218,12.45674740484429,-0.962494531281072,20.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,0,14.449917898193759,15.942028985507244,-1.4921110873134857,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,1,15.10673234811166,15.217391304347828,-0.1106589562361684,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,2,16.420361247947454,19.565217391304348,-3.1448561433568933,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,3,13.793103448275861,14.855072463768115,-1.061969015492254,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,4,15.763546798029557,14.130434782608695,1.6331120154208616,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,5,13.793103448275861,12.681159420289855,1.1119440279860058,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,6,13.136288998357964,14.855072463768115,-1.7187834654101515,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,7,15.763546798029557,16.304347826086957,-0.5408010280574,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,8,15.435139573070607,19.202898550724637,-3.7677589776540295,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,9,15.435139573070607,17.02898550724638,-1.5938459341757714,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,10,14.77832512315271,16.304347826086957,-1.526022702934247,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,11,15.435139573070607,14.855072463768115,0.5800671093024921,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,12,13.793103448275861,14.492753623188406,-0.699650174912545,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,13,16.091954022988507,17.02898550724638,-0.9370314842578722,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,14,12.479474548440066,10.144927536231885,2.3345470122081817,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,15,14.12151067323481,16.666666666666664,-2.5451559934318535,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,16,14.77832512315271,14.492753623188406,0.28557149996430375,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,17,16.420361247947454,17.391304347826086,-0.9709430998786317,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,18,16.091954022988507,16.304347826086957,-0.21239380309845046,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,30,,19,16.748768472906402,17.391304347826086,-0.6425358749196839,30.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,40,,0,20.032840722495894,17.801047120418847,2.2317936020770475,40.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,40,,1,17.4055829228243,16.230366492146597,1.175216430677704,40.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,40,,2,21.34646962233169,21.98952879581152,-0.6430591734798305,40.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,40,,3,18.0623973727422,18.32460732984293,-0.2622099571007297,40.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,40,,4,19.376026272578,19.10994764397906,0.26607862859894027,40.0
stratified_shuffle,pgp_broccatelli,Pgp,first,First,40,,5,18.39080459770115,16.230366492146597,2.160438105554551,40.0
