error_rate,dataset,strategy,delta_auc,p_value,n,category
0,CHEMBL2326-1,min_oob_error,-0.02138722971608047,0.7561664581298828,20,no_difference
0,CHEMBL2326-1,min_oob_uncertainty,0.00260205202453605,0.956329345703125,20,no_difference
0,CHEMBL2326-1,random,-0.05147610810983352,0.24548721313476562,20,no_difference
0,CHEMBL233-1,first,-0.023302972965500858,0.4304332733154297,20,no_difference
0,CHEMBL233-1,max_oob_error,0.03580010977829602,0.5216732025146484,20,no_difference
0,CHEMBL233-1,max_oob_uncertainty,-0.0615645276044269,0.20244979858398438,20,no_difference
0,CHEMBL233-1,min_oob_error,-0.019104217421030613,0.7011814117431641,20,no_difference
0,CHEMBL233-1,min_oob_uncertainty,-0.013637218283334107,0.7841262817382812,20,no_difference
0,CHEMBL233-1,random,-0.04359587220147247,0.3117942810058594,20,no_difference
0,CHEMBL234-1,first,-0.012564650424097223,0.49800872802734375,20,no_difference
0,CHEMBL234-1,max_oob_error,-0.08611181635926748,0.069580078125,20,no_difference
0,CHEMBL234-1,max_oob_uncertainty,0.009220013451350439,0.7561664581298828,20,no_difference
0,CHEMBL234-1,min_oob_error,-0.0007005522763794403,0.6215133666992188,20,no_difference
0,CHEMBL234-1,min_oob_uncertainty,0.010611119846989325,0.7841262817382812,20,no_difference
0,CHEMBL234-1,random,-0.032401684283502874,0.21616744995117188,20,no_difference
0,CHEMBL236-1,first,0.40112989039800445,0.01531219482421875,20,better
0,CHEMBL236-1,max_oob_error,-0.30745854021452745,0.0758514404296875,20,no_difference
0,CHEMBL236-1,max_oob_uncertainty,0.33152313299131997,0.012079238891601562,20,better
0,CHEMBL236-1,min_oob_error,0.23237795195206382,0.013616561889648438,20,better
0,CHEMBL236-1,min_oob_uncertainty,0.2219313939256498,0.06372261047363281,20,no_difference
0,CHEMBL236-1,random,0.29243783873000845,0.08969497680664062,20,no_difference
0,CHEMBL2366517-1,first,-0.014489798513641006,0.49800872802734375,20,no_difference
0,CHEMBL2366517-1,max_oob_error,-0.01832305319534804,0.3299827575683594,20,no_difference
0,CHEMBL2366517-1,max_oob_uncertainty,-0.020585801085509912,0.21616744995117188,20,no_difference
0,CHEMBL2366517-1,min_oob_error,-0.007849263334177436,0.5705966949462891,20,no_difference
0,CHEMBL2366517-1,min_oob_uncertainty,-0.008490666349787901,0.5458755493164062,20,no_difference
0,CHEMBL2366517-1,random,-0.031233453302490232,0.13272666931152344,20,no_difference
0,CHEMBL237-1,first,3.063823976591824,3.814697265625e-06,20,better
0,CHEMBL237-1,max_oob_error,4.052598141037052,2.6702880859375e-05,20,better
0,CHEMBL237-1,max_oob_uncertainty,2.1688092359360733,0.0072956085205078125,20,better
0,CHEMBL237-1,min_oob_error,3.357935107424963,4.76837158203125e-05,20,better
0,CHEMBL237-1,min_oob_uncertainty,4.4170051868189,3.814697265625e-06,20,better
0,CHEMBL237-1,random,2.7392715936585925,5.7220458984375e-06,20,better
0,CHEMBL238-1,first,-0.01898713529027276,0.8408222198486328,20,no_difference
0,CHEMBL238-1,max_oob_error,-0.27089887921460765,0.0031528472900390625,20,worse
0,CHEMBL238-1,max_oob_uncertainty,-0.0710415316808298,0.5705966949462891,20,no_difference
0,CHEMBL238-1,min_oob_error,0.0875894161919856,0.1893482208251953,20,no_difference
0,CHEMBL238-1,min_oob_uncertainty,0.00028044333666628064,0.5705966949462891,20,no_difference
0,CHEMBL238-1,random,-0.023992810358688034,0.6742229461669922,20,no_difference
0,CHEMBL240-1,first,0.07719795788141148,0.1230926513671875,20,no_difference
0,CHEMBL240-1,max_oob_error,-0.1494410247095761,0.021484375,20,worse
0,CHEMBL240-1,max_oob_uncertainty,0.05452584926731312,0.6476554870605469,20,no_difference
0,CHEMBL240-1,min_oob_error,0.025637132739295864,0.5958194732666016,20,no_difference
0,CHEMBL240-1,min_oob_uncertainty,-0.06066434668623479,0.4304332733154297,20,no_difference
0,CHEMBL240-1,random,0.01954838877066418,0.5958194732666016,20,no_difference
0,CHEMBL240-2,first,0.8159095801838013,0.001689910888671875,20,better
0,CHEMBL240-2,max_oob_error,0.8323344795339821,0.04844093322753906,20,better
0,CHEMBL240-2,max_oob_uncertainty,0.34371595125060994,0.04405403137207031,20,better
0,CHEMBL240-2,min_oob_error,0.26576996351687787,0.3117942810058594,20,no_difference
0,CHEMBL240-2,min_oob_uncertainty,1.4500224494451115,5.7220458984375e-06,20,better
