dataset,protocol,seed,value,metric
PAMPA_NCATS,min_oob_error,2,0.2218497529692692,mcc
PAMPA_NCATS,min_oob_error,3,0.2520430185997849,mcc
PAMPA_NCATS,min_oob_error,4,0.1534034041943608,mcc
PAMPA_NCATS,min_oob_error,5,0.1383622722606445,mcc
PAMPA_NCATS,min_oob_error,6,0.2028767261784807,mcc
PAMPA_NCATS,min_oob_error,7,0.1352695829430696,mcc
PAMPA_NCATS,min_oob_error,8,0.1779171213123463,mcc
PAMPA_NCATS,min_oob_error,9,0.2078905616439008,mcc
PAMPA_NCATS,min_oob_error,10,0.1014510250317379,mcc
PAMPA_NCATS,min_oob_error,11,0.2053926545419661,mcc
PAMPA_NCATS,min_oob_error,12,0.2391680542264457,mcc
PAMPA_NCATS,min_oob_error,13,0.1849035617094011,mcc
PAMPA_NCATS,min_oob_error,14,0.1903233966840402,mcc
PAMPA_NCATS,min_oob_error,15,0.1762187812961865,mcc
PAMPA_NCATS,min_oob_error,16,0.2548770286866227,mcc
PAMPA_NCATS,min_oob_error,17,0.0904442051484977,mcc
PAMPA_NCATS,min_oob_error,18,0.1362805406107481,mcc
PAMPA_NCATS,min_oob_error,19,0.2161971649946723,mcc
PAMPA_NCATS,max_oob_error,0,0.1571274932314553,mcc
PAMPA_NCATS,max_oob_error,1,0.1737205632193804,mcc
PAMPA_NCATS,max_oob_error,2,0.2119624152389551,mcc
PAMPA_NCATS,max_oob_error,3,0.1693735462927151,mcc
PAMPA_NCATS,max_oob_error,4,0.1143242988177482,mcc
PAMPA_NCATS,max_oob_error,5,0.0892684533499257,mcc
PAMPA_NCATS,max_oob_error,6,0.1788266919336206,mcc
PAMPA_NCATS,max_oob_error,7,0.1436186059493829,mcc
PAMPA_NCATS,max_oob_error,8,0.1503222695430163,mcc
PAMPA_NCATS,max_oob_error,9,0.1659220267508364,mcc
PAMPA_NCATS,max_oob_error,10,0.1531162670270986,mcc
PAMPA_NCATS,max_oob_error,11,0.2149768281486181,mcc
PAMPA_NCATS,max_oob_error,12,0.260092708901768,mcc
PAMPA_NCATS,max_oob_error,13,0.1455507166268397,mcc
