source,error_rate,dataset,dataset_label,strategy,strategy_label,delta_auc,p_value,n,sign_class
initial,30,PAMPA_NCATS,PAMPA,random,Random,-0.017869005656731874,0.5216732025146484,20,0
initial,30,PAMPA_NCATS,PAMPA,first,First,-0.017319343961382315,0.40909767150878906,20,0
initial,30,PAMPA_NCATS,PAMPA,min_oob_error,MinE,-0.03251549705861018,0.16495704650878906,20,0
initial,30,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,0.018091655936299873,0.26109886169433594,20,0
initial,30,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,-0.012911845758738893,0.5216732025146484,20,0
initial,30,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,-0.00945059752499668,0.6215133666992188,20,0
initial,30,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,0.030655649965358477,0.38837623596191406,20,0
initial,30,MDR1_MDCK_classification2,MDR1-MDCK,first,First,0.005772019496390968,0.8983173370361328,20,0
initial,30,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,-0.0022606805567697563,0.7841262817382812,20,0
initial,30,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,0.08665630772552273,0.006389617919921875,20,1
initial,30,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,0.03246656961542431,0.5216732025146484,20,0
initial,30,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,0.039585751770952804,0.14290618896484375,20,0
initial,30,ames,Ames,random,Random,0.3784707452974324,0.0023250579833984375,20,1
initial,30,ames,Ames,first,First,0.37685101602316334,0.001689910888671875,20,1
initial,30,ames,Ames,min_oob_error,MinE,-0.07469423640687242,0.3117942810058594,20,0
initial,30,ames,Ames,max_oob_error,MaxE,1.0941967690829164,3.814697265625e-06,20,1
initial,30,ames,Ames,min_oob_uncertainty,MinU,0.52675533554859,4.76837158203125e-05,20,1
initial,30,ames,Ames,max_oob_uncertainty,MaxU,0.4670712948599906,0.0004825592041015625,20,1
initial,30,CYP3A4_Veith,CYP3A4,random,Random,0.16235453493139218,0.0002613067626953125,20,1
initial,30,CYP3A4_Veith,CYP3A4,first,First,0.23555965039293306,1.9073486328125e-06,20,1
initial,30,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,-0.21919935721100536,0.0007076263427734375,20,-1
initial,30,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,0.6797419221670251,1.9073486328125e-06,20,1
initial,30,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,0.3299775118091187,1.9073486328125e-06,20,1
initial,30,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,0.13721548142328607,0.0003223419189453125,20,1
initial,30,CYP2D6_Veith,CYP2D6,random,Random,0.3371923566484124,3.62396240234375e-05,20,1
initial,30,CYP2D6_Veith,CYP2D6,first,First,0.3324234157122065,0.005580902099609375,20,1
