dataset,error,metric,smal_strategy,sampler,sampler_label,n_seeds,smal_metric_mean,smal_metric_std,static_metric_mean,static_metric_std,smal_minus_static_metric_mean,smal_minus_static_metric_median,smal_win_rate,wilcoxon_greater_p
CYP3A4_Veith,0,mcc,max_oob_error,random_under_sampler,RandomUnderSampler,20,0.5204606204739746,0.0314988061106145,0.5153171127042114,0.027554523305055055,0.005143507769763004,0.005775352683618035,0.7,0.0347900390625
CYP3A4_Veith,0,mcc,max_oob_error,repeated_edited_nearest_neighbours,RepeatedEditedNN,20,0.5204606204739746,0.0314988061106145,0.47299332854248705,0.02068138489559626,0.047467291931487486,0.05083568260971941,1.0,9.5367431640625e-07
CYP3A4_Veith,0,mcc,max_oob_error,smoten,SMOTEN,20,0.5204606204739746,0.0314988061106145,0.46478955346309825,0.025659846041832853,0.055671067010876304,0.0560627943150524,1.0,9.5367431640625e-07
CYP3A4_Veith,0,mcc,max_oob_error,tomek_links,TomekLinks,20,0.5204606204739746,0.0314988061106145,0.5179884180700569,0.026375723696023402,0.0024722024039176616,0.001995892308997549,0.55,0.18413829803466797
MDR1_MDCK_classification2,0,mcc,max_oob_error,all_knn,AllKNN,20,0.4834560538886216,0.028150987830002635,0.4529569990256931,0.017773299088861678,0.030499054862928327,0.03180352411217413,0.85,0.00016117095947265625
MDR1_MDCK_classification2,0,mcc,max_oob_error,balanced,Balanced,20,0.4834560538886216,0.028150987830002635,0.48249417057384464,0.019688103706013323,0.0009618833147767875,0.006283617858755058,0.55,0.5508413314819336
MDR1_MDCK_classification2,0,mcc,max_oob_error,balanced_diverse,Balanced Diverse,20,0.4834560538886216,0.028150987830002635,0.48264367323450774,0.027812535407104908,0.0008123806541138479,0.003950045659083162,0.55,0.43474388122558594
MDR1_MDCK_classification2,0,mcc,max_oob_error,condensed_nearest_neighbour,CondensedNN,20,0.4834560538886216,0.028150987830002635,0.3731196178595403,0.029683939349841003,0.11033643602908123,0.12222876610241928,1.0,9.5367431640625e-07
MDR1_MDCK_classification2,0,mcc,max_oob_error,diverse,Diverse,20,0.4834560538886216,0.028150987830002635,0.4074181085406291,0.027781319468616894,0.07603794534799238,0.07622091987308974,1.0,9.5367431640625e-07
MDR1_MDCK_classification2,0,mcc,max_oob_error,diverse_balanced,Diverse Balanced,20,0.4834560538886216,0.028150987830002635,0.47232570521858425,0.023654024912014925,0.011130348670037257,0.0170618696692639,0.65,0.05699348449707031
